time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
0.649,211,204,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9263.3845,105.3847
0.666,213,233,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,14862.4294,73.1801
0.683,216,235,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,6903.0827,104.7408
0.699,218,212,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8390.3551,253.3589
0.716,216,207,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9066.8664,275.3749
0.733,216,230,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,15541.3742,219.3492
0.749,219,228,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,6613.2976,254.7147
0.766,218,202,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,7786.5967,476.7833
0.783,215,201,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8593.1980,251.0784
0.799,215,232,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,12865.3042,88.1955
0.816,220,247,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,7439.9597,98.0347
0.833,223,229,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8882.3018,310.3131
0.849,223,223,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9640.3866,391.8502
0.866,225,259,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,18184.4878,391.8502
0.877,232,266,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8503.4919,207.5078
0.877,235,248,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9442.4043,1002.8974
0.916,238,261,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,11879.3479,453.1399
0.933,244,287,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,18118.5857,427.4685
0.949,250,271,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9164.4727,546.4905
0.966,252,270,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,10684.4803,950.4028
0.983,259,318,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,20396.9964,350.0150
0.999,269,320,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,10073.1991,433.5946
1.016,277,328,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,13157.1253,1485.2456
1.033,288,366,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,28931.7646,561.9144
1.049,299,360,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,11377.5932,1188.5264
1.066,311,394,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,25655.1328,3843.9909
1.083,326,418,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,18814.4979,1196.2666
1.099,342,441,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,21072.1862,2009.9858
1.116,360,467,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,33608.4202,6299.1687
1.133,377,489,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,24318.1442,3830.0801
1.149,395,495,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,33344.6664,13302.9431
1.166,412,518,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,35804.0063,15458.4537
1.183,429,529,Running,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,20348.6581,17020.1038
1.199,447,553,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,47699.4105,13403.6414
1.216,464,570,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,14527.3895,15868.2882
1.233,483,601,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,41825.1215,17843.8361
1.249,504,641,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,59852.4672,17804.7831
1.266,528,679,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,17579.1198,18355.6981
1.283,553,706,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,48308.8470,23742.9088
1.299,579,729,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,59492.0186,23039.8997
1.316,604,752,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,56909.2484,15967.8566
1.333,629,773,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,46943.0726,19321.7616
1.349,652,797,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,32562.6992,16260.8941
1.366,675,815,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,43216.0780,19983.7653
1.383,698,830,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,47341.5720,18842.6030
1.399,720,851,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,48789.6840,18842.6030
1.416,741,873,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,54769.0585,18863.0955
1.433,763,891,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,55099.1883,21495.8568
1.449,784,907,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,51188.5946,19730.3816
1.466,805,927,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,52158.6589,21768.4165
1.483,825,945,Running,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,55934.6294,21891.7805
