timestamp_ms,vehicle_id,speed_kmh,throttle_percent,brake_light,acceleration_g,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,motor_torque_nm,gear_selector,dbc_signal_count
0.280,tesla,,0.00,,,101.00,,,,0.00,P,4
0.283,tesla,,0.00,,,101.00,,,,0.00,P,4
0.283,tesla,,0.00,,,101.00,,,,0.00,P,4
0.286,tesla,,0.00,,,101.00,,,,0.00,P,4
0.286,tesla,,0.00,,,101.00,,,,0.00,P,4
0.288,tesla,,0.00,,,101.00,,,,0.00,P,4
0.291,tesla,,0.00,,,101.00,,,,0.00,P,4
0.294,tesla,,0.00,,,101.00,,,,0.00,P,4
0.297,tesla,,0.00,,,101.00,,,,0.00,P,4
0.300,tesla,,0.00,,,101.00,,,,0.00,P,4
0.300,tesla,,0.00,,,101.00,,,,0.00,P,4
0.302,tesla,,0.00,,,101.00,,,,0.00,P,4
0.305,tesla,,0.00,,,101.00,,,,0.00,P,4
0.308,tesla,,0.00,,,101.00,,,,0.00,P,4
0.308,tesla,,0.00,,,101.00,,,,0.00,P,4
0.311,tesla,,0.00,,,101.00,,,,0.00,P,4
0.313,tesla,,0.00,,,101.00,,,,0.00,P,4
0.316,tesla,,0.00,,,101.00,,,,0.00,P,4
0.319,tesla,,0.00,,,101.00,,,,0.00,P,4
0.319,tesla,,0.00,,,101.00,,,,0.00,P,4
0.322,tesla,,0.00,,,101.00,,,,0.00,P,4
0.325,tesla,,0.00,,,101.00,,,,0.00,P,4
0.327,tesla,,0.00,,,101.00,,,,0.00,P,4
0.327,tesla,,0.00,,,101.00,,,,0.00,P,4
0.330,tesla,,0.00,,,101.00,,,,0.00,P,4
0.333,tesla,,0.00,,,101.00,,,,0.00,P,4
0.336,tesla,,0.00,,,101.00,,,,0.00,P,4
0.338,tesla,,0.00,,,101.00,,,,0.00,P,4
0.339,tesla,,0.00,,,101.00,,,,0.00,P,4
0.341,tesla,,0.00,,,101.00,,,,0.00,P,4
0.344,tesla,,0.00,,,101.00,,,,0.00,P,4
0.347,tesla,,0.00,,,101.00,,,,0.00,P,4
0.347,tesla,,0.00,,,101.00,,,,0.00,P,4
0.350,tesla,,0.00,,,101.00,,,,0.00,P,4
0.352,tesla,,0.00,,,101.00,,,,0.00,P,4
0.355,tesla,,0.00,,,101.00,,,,0.00,P,4
0.355,tesla,,0.00,,,101.00,,,,0.00,P,4
0.358,tesla,,0.00,,,101.00,,,,0.00,P,4
0.361,tesla,,0.00,,,101.00,,,,0.00,P,4
0.364,tesla,,0.00,,,101.00,,,,0.00,P,4
0.366,tesla,0.00,0.00,,,101.00,,,,0.00,P,5
0.366,tesla,0.00,0.00,,,101.00,,,,0.00,P,5
0.369,tesla,0.00,0.00,,,101.00,,,,0.00,P,5
0.372,tesla,0.00,0.00,,,101.00,,,,0.00,P,5
0.375,tesla,0.00,0.00,,,101.00,,,,0.00,P,5
