timestamp_utc_ms,throttle_pct,speed_kmh,acceleration_g,brake_pct,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,gear_selector,motor_torque_nm
1781472526915,,,,,,,,,,
1781472526917,,,,,,,,,,
1781472526920,,,,,,,,,,
1781472526920,,,,,,,,,,
1781472526923,,,,,,,,,,
1781472526926,0.00,,,2.00,,,,,4097,
1781472526928,0.00,,,2.00,68.60,,,,4097,
1781472526931,0.00,,,2.00,68.60,,,,4097,
1781472526934,0.00,0.00,,2.00,68.60,,,,4097,
1781472526937,0.00,0.00,,2.00,68.60,,,,4097,
1781472526939,0.00,0.00,,2.00,68.60,,,,4097,
1781472526939,0.00,0.00,,2.00,68.60,,,,4097,
1781472526942,0.00,0.00,,2.00,68.60,,,,4097,
1781472526945,0.00,0.00,,2.00,68.60,,,,4097,
1781472526948,0.00,0.00,,2.00,68.60,,,,4097,
1781472526951,0.00,0.00,,2.00,68.60,,,,4097,
1781472526953,0.00,0.00,,2.00,68.60,,,,4097,
1781472526953,0.00,0.00,,2.00,68.60,,,,4097,
1781472526956,0.00,0.00,,2.00,68.60,,,,4097,
1781472526959,0.00,0.00,,2.00,68.60,,,,4097,
1781472526961,0.00,0.00,,2.00,68.60,,,,4097,
1781472526964,0.00,0.00,,2.00,68.60,,,,4097,
1781472526967,0.00,0.00,,2.00,68.60,,,,4097,
1781472526970,0.00,0.00,,2.00,68.60,,,,4097,
1781472526973,0.00,0.00,,2.00,68.60,,,,4097,
1781472526973,0.00,0.00,,2.00,68.60,,,,4097,
1781472526975,0.00,0.00,,2.00,68.60,,,,4097,
1781472526978,0.00,0.00,,2.00,68.60,,,,4097,
1781472526981,0.00,0.00,,2.00,68.60,,,,4097,
1781472526981,0.00,0.00,,2.00,68.60,,,,4097,
1781472526984,0.00,0.00,,2.00,68.60,,,,4097,
1781472526986,0.00,0.00,,2.00,68.60,,,,4097,
1781472526989,0.00,0.00,,2.00,68.60,,,,4097,
1781472526992,0.00,0.00,,2.00,68.60,,,,4097,
1781472526992,0.00,0.00,,2.00,68.60,,,,4097,
1781472526995,0.00,0.00,,2.00,68.60,,,,4097,
1781472526997,0.00,0.00,,2.00,68.60,,,,4097,
1781472527000,0.00,0.00,,2.00,68.60,,,,4097,
1781472527003,0.00,0.00,,2.00,68.60,,,,4097,
1781472527003,0.00,0.00,,2.00,68.60,,,,4097,
1781472527006,0.00,0.00,,2.00,68.60,,,,4097,
